batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,a5c75b25-a0c0-4ff4-a868-993abf5cfa24,2,false,5,false,rejected_not_better_regenerate|tier=dist_1_to_2;dist=1.0605;center_gap=2.87;mode=sentence_only;dominant=sentence;dir_changed=0;wb=15;sb=12;lf=1.03;df=1.43;af=1.0000;pg=1.0605;pd=0.0000;af_fb=1,1.2796,1.0605,1.0605,0.2191,false,0.9534,9.42,58.29,10.22,11.22,7.94,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,1,true,accepted_better_distance|tier=dist_1_to_2;dist=1.5247;center_gap=2.12;mode=word_only;dominant=word;dir_changed=0;wb=50;sb=8;lf=1.24;df=1.66;af=na;pg=na;pd=na;af_fb=0,1.1807,1.5247,1.1807,-0.344,true,1,9.52,58.06,9.92,10.69,8.36,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,2,true,accepted_hit_target|tier=dist_1_to_2;dist=1.1807;center_gap=1.86;mode=word_only;dominant=word;dir_changed=0;wb=52;sb=19;lf=1.25;df=1.49;af=3.0000;pg=1.5247;pd=0.3440;af_fb=0,0.4233,1.1807,0.4233,-0.7574,true,0.9337,8.11,68.3,8.5,8.88,7.82,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,3,false,rejected_not_better_regenerate|tier=dist_lt_1;dist=0.4233;center_gap=1.1;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=8;sb=2;lf=1.25;df=1.11;af=0.5589;pg=1.1807;pd=0.7574;af_fb=0,0.5349,0.4233,0.4233,0.1116,false,0.9337,6.89,71.17,6.85,8.5,6.5,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,3,true,accepted_better_distance|tier=dist_lt_1;dist=0.4233;center_gap=1.1;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=8;sb=2;lf=1.25;df=1.11;af=0.5589;pg=1.1807;pd=0.7574;af_fb=0,0.3725,0.4233,0.3725,-0.0508,true,0.9337,7.79,68.87,8.06,8.84,7.44,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,4,false,rejected_not_better_regenerate|tier=dist_lt_1;dist=0.3725;center_gap=0.97;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=42;sb=9;lf=1.25;df=1.09;af=3.0000;pg=0.4233;pd=0.0508;af_fb=0,0.6808,0.3725,0.3725,0.3083,false,0.9337,6.61,72.03,6.53,8.41,6.24,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,4,false,rejected_not_better_regenerate|tier=dist_lt_1;dist=0.3725;center_gap=0.97;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=42;sb=9;lf=1.25;df=1.09;af=3.0000;pg=0.4233;pd=0.0508;af_fb=0,0.4445,0.3725,0.3725,0.072,false,0.9337,7.09,70.52,7.14,8.64,6.68,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,4,false,rejected_not_better_regenerate|tier=dist_lt_1;dist=0.3725;center_gap=0.97;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=42;sb=9;lf=1.25;df=1.09;af=3.0000;pg=0.4233;pd=0.0508;af_fb=0,0.4016,0.3725,0.3725,0.0291,false,0.9337,7.26,70.26,7.37,8.68,6.89,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,d7c90d24-67b4-4610-b4ea-ed726d15ba48,2,true,5,true,accepted_better_distance|tier=dist_lt_1;dist=0.3725;center_gap=0.97;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=14;sb=3;lf=1.25;df=1.09;af=1.0000;pg=0.3725;pd=0.0000;af_fb=1,0.3613,0.3725,0.3613,-0.0112,true,0.9337,7.76,68.71,7.99,8.86,7.36,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,6a845237-aeea-4ba8-81f9-133b12212850,4,true,1,true,accepted_better_distance|tier=dist_1_to_2;dist=1.1430;center_gap=2.88;mode=sentence_only;dominant=sentence;dir_changed=0;wb=18;sb=15;lf=1.24;df=1.47;af=na;pg=na;pd=na;af_fb=0,0.6723,1.143,0.6723,-0.4707,true,1,13.44,45.24,14.68,11.85,12.19,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,6a845237-aeea-4ba8-81f9-133b12212850,4,true,2,true,accepted_better_distance|tier=dist_lt_1;dist=0.6723;center_gap=1.81;mode=word_budget_3;dominant=word;dir_changed=1;wb=11;sb=9;lf=1.25;df=1.24;af=1.4283;pg=1.1430;pd=0.4707;af_fb=0,0.6486,0.6723,0.6486,-0.0237,true,1,13.34,45.96,14.58,11.73,12.1,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,6a845237-aeea-4ba8-81f9-133b12212850,4,true,3,true,accepted_hit_target|tier=dist_lt_1;dist=0.6486;center_gap=1.77;mode=word_budget_3;dominant=word;dir_changed=0;wb=24;sb=13;lf=1.25;df=1.22;af=3.0000;pg=0.6723;pd=0.0237;af_fb=0,0.6355,0.6486,0.6355,-0.0131,true,1,13.08,47.74,14.36,11.47,12.01,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,6a845237-aeea-4ba8-81f9-133b12212850,4,true,4,true,accepted_better_distance|tier=dist_lt_1;dist=0.6355;center_gap=1.64;mode=word_budget_3;dominant=word;dir_changed=0;wb=24;sb=13;lf=1.25;df=1.22;af=3.0000;pg=0.6486;pd=0.0131;af_fb=0,0.6274,0.6355,0.6274,-0.0081,true,1,13,47.94,14.24,11.42,11.94,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,6a845237-aeea-4ba8-81f9-133b12212850,4,true,5,true,accepted_better_distance|tier=dist_lt_1;dist=0.6274;center_gap=1.6;mode=word_budget_3;dominant=word;dir_changed=0;wb=24;sb=13;lf=1.25;df=1.21;af=3.0000;pg=0.6355;pd=0.0081;af_fb=0,0.6261,0.6274,0.6261,-0.0013,true,0.992,12.89,48.6,14.11,11.31,11.92,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,87930df1-e42b-4b7e-b267-06246d3f7cc7,2,false,1,true,accepted_better_distance|tier=dist_gt_2;dist=2.3859;center_gap=3.83;mode=both;dominant=word;dir_changed=0;wb=52;sb=13;lf=1.17;df=2.09;af=na;pg=na;pd=na;af_fb=0,1.8319,2.3859,1.8319,-0.554,true,0.8182,4.54,75.11,4,7.34,3.29,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,87930df1-e42b-4b7e-b267-06246d3f7cc7,2,false,2,true,accepted_better_distance|tier=dist_1_to_2;dist=1.8319;center_gap=3.89;mode=sentence_budget_1;dominant=sentence;dir_changed=1;wb=51;sb=9;lf=0.92;df=1.82;af=3.0000;pg=2.3859;pd=0.5540;af_fb=0,1.4365,1.8319,1.4365,-0.3954,true,0.8182,5.19,70.37,4.54,8.03,3.45,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,87930df1-e42b-4b7e-b267-06246d3f7cc7,2,false,3,true,accepted_better_distance|tier=dist_1_to_2;dist=1.4365;center_gap=3.44;mode=sentence_only;dominant=sentence;dir_changed=0;wb=45;sb=26;lf=0.92;df=1.62;af=3.0000;pg=1.8319;pd=0.3954;af_fb=0,1.4141,1.4365,1.4141,-0.0224,true,0.8284,10.21,57.52,10.98,10.7,8.62,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,87930df1-e42b-4b7e-b267-06246d3f7cc7,2,false,4,true,accepted_better_distance|tier=dist_1_to_2;dist=1.4141;center_gap=2.36;mode=word_budget_3;dominant=word;dir_changed=1;wb=21;sb=10;lf=0.93;df=1.61;af=3.0000;pg=1.4365;pd=0.0224;af_fb=0,1.1928,1.4141,1.1928,-0.2213,true,0.8184,9.77,60.57,10.63,10.28,8.37,0
adj_q_small_20260227_234147,ch5_small_adjust_questions_20260227_234147,x-ai/grok-4.1-fast,ielts_13_test2_passage1_21iffj_to_l2,87930df1-e42b-4b7e-b267-06246d3f7cc7,2,false,5,true,accepted_better_distance|tier=dist_1_to_2;dist=1.1928;center_gap=2.18;mode=word_only;dominant=word;dir_changed=0;wb=52;sb=10;lf=0.93;df=1.50;af=3.0000;pg=1.4141;pd=0.2213;af_fb=0,0.8228,1.1928,0.8228,-0.37,true,0.8082,9.27,64.77,10.07,9.39,8.5,0
