article_id,file_name,generated_at,topic,level,target_words,word_count,len_dev_pct,sentence_count,complex_word_ratio,fk_grade,fre,ari,coleman_liau,gunning_fog,task_a_hit_by_level_band,model,provider,experiment_id,run_tag,batch_id,sample_id,attempts_used,max_attempts,selected_attempt,within_preferred_range,distance_to_target_words,prompt_tokens,completion_tokens,total_tokens,llm_calls,in_report_task_a_scope,report_task_a_n38_rank_in_model,report_task_a_selected_n38,data_origin
0abb6f8a-2252-4304-a020-1cdf392abadd,0abb6f8a-2252-4304-a020-1cdf392abadd.json,2026-02-25T20:41:39.027Z,ancient trade routes,5,600,468,22,15,0.2,23.48,-17.71,24.5,21.12,20.43,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l5_w600_r1,3,3,3,false,132,601,1669,2270,3,true,11,true,out_generated
24e797b0-643b-4ab7-acc1-92a2fd3bcfff,24e797b0-643b-4ab7-acc1-92a2fd3bcfff.json,2026-02-25T20:41:20.854Z,ancient trade routes,5,300,314,4.6667,11,0.2,22.98,-18.82,23.98,22.04,19.44,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l5_w300_r1,1,3,1,true,14,200,412,612,1,true,12,true,out_generated
d70fc9f5-ce00-4ba0-bacb-27e33debd1d3,d70fc9f5-ce00-4ba0-bacb-27e33debd1d3.json,2026-02-25T20:41:15.079Z,ancient trade routes,4,600,485,19.1667,17,0.19,21.93,-11.38,22.57,20.29,18.92,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l4_w600_r1,3,3,2,false,115,606,1706,2312,3,true,13,true,out_generated
809126ae-563d-4add-ac24-c19bd30c679c,809126ae-563d-4add-ac24-c19bd30c679c.json,2026-02-25T20:40:55.828Z,ancient trade routes,4,300,284,5.3333,12,0.16,20.07,-6.64,20.85,20.96,15.95,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l4_w300_r1,1,3,1,true,16,203,357,560,1,true,14,true,out_generated
6075dcc9-90e5-40d4-85bd-4b30c1e6b05a,6075dcc9-90e5-40d4-85bd-4b30c1e6b05a.json,2026-02-25T20:40:51.333Z,ancient trade routes,3,600,613,2.1667,24,0.1,17.61,14.33,18.69,17.18,14.39,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l3_w600_r1,3,3,3,true,13,607,1745,2352,3,true,15,true,out_generated
ac9bb3ff-3d6e-45c8-991b-7567e5cad760,ac9bb3ff-3d6e-45c8-991b-7567e5cad760.json,2026-02-25T20:40:26.252Z,ancient trade routes,3,300,302,0.6667,13,0.14,18.12,6.49,19.19,19.14,14.72,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l3_w300_r1,1,3,1,true,2,203,374,577,1,true,16,true,out_generated
9437d1cd-0a89-4932-9d44-dfced55e8f68,9437d1cd-0a89-4932-9d44-dfced55e8f68.json,2026-02-25T20:40:21.310Z,ancient trade routes,2,600,516,14,40,0.01,6.41,72.09,6.75,9.04,5.39,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l2_w600_r1,3,3,1,false,84,612,1776,2388,3,true,17,true,out_generated
98afc9c3-a28c-4e9f-86f0-d7e84c8492a1,98afc9c3-a28c-4e9f-86f0-d7e84c8492a1.json,2026-02-25T20:40:04.692Z,ancient trade routes,2,300,379,26.3333,25,0.01,7.88,65.55,8.52,10.17,6.59,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l2_w300_r1,1,3,1,true,79,203,454,657,1,true,18,true,out_generated
89d659bb-fb40-4427-887e-28fc646aa063,89d659bb-fb40-4427-887e-28fc646aa063.json,2026-02-25T20:39:35.099Z,ancient trade routes,1,300,360,20,35,0,4.45,81.48,4.66,7.47,4.11,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,ancient_trade_routes_l1_w300_r1,3,3,3,false,60,602,1339,1941,3,true,19,true,out_generated
58c1679c-cf9a-401b-9163-ede40ca3703f,58c1679c-cf9a-401b-9163-ede40ca3703f.json,2026-02-25T20:39:20.800Z,public transportation,5,600,455,24.1667,15,0.27,25.68,-34.99,25.79,23.23,22.77,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l5_w600_r1,3,3,2,false,145,600,1611,2211,3,true,20,true,out_generated
71d03b4d-efd4-4e42-b7b6-8bd5d08c6433,71d03b4d-efd4-4e42-b7b6-8bd5d08c6433.json,2026-02-25T20:38:52.588Z,public transportation,5,300,320,6.6667,12,0.21,22.95,-21.95,23.64,22.71,19.17,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l5_w300_r1,1,3,1,true,20,199,391,590,1,true,21,true,out_generated
2d1748ce-785b-4aef-9110-620163cc46ce,2d1748ce-785b-4aef-9110-620163cc46ce.json,2026-02-25T20:38:47.333Z,public transportation,4,600,478,20.3333,17,0.21,22.51,-16.21,23.66,21.88,19.53,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l4_w600_r1,3,3,1,false,122,606,1614,2220,3,true,22,true,out_generated
d92cedc0-40e1-4375-80c7-8134d107e6e2,d92cedc0-40e1-4375-80c7-8134d107e6e2.json,2026-02-25T20:38:30.395Z,public transportation,4,300,285,5,11,0.23,23.21,-25.17,23.75,23.29,19.49,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l4_w300_r1,1,3,1,true,15,202,356,558,1,true,23,true,out_generated
6bdb0dc8-fc1d-4c60-97c0-7249937b1a20,6bdb0dc8-fc1d-4c60-97c0-7249937b1a20.json,2026-02-25T20:38:25.673Z,public transportation,3,600,508,15.3333,21,0.13,19.21,0.42,20.22,19.88,14.87,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l3_w600_r1,3,3,2,false,92,605,1791,2396,3,true,24,true,out_generated
445de9b3-b392-4724-9354-544c9f7b6494,445de9b3-b392-4724-9354-544c9f7b6494.json,2026-02-25T20:38:06.486Z,public transportation,3,300,305,1.6667,15,0.16,19.34,-7.41,19.78,21.49,14.43,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l3_w300_r1,1,3,1,true,5,201,368,569,1,true,25,true,out_generated
11a0826e-5a87-4e50-b071-49d4d7daa336,11a0826e-5a87-4e50-b071-49d4d7daa336.json,2026-02-25T20:37:39.206Z,public transportation,2,300,352,17.3333,25,0.05,9.44,52.43,9.47,11.88,7.56,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l2_w300_r1,1,3,1,true,52,202,426,628,1,true,26,true,out_generated
f7a1598e-8c4d-4f56-943b-5d28402f2176,f7a1598e-8c4d-4f56-943b-5d28402f2176.json,2026-02-25T20:37:33.592Z,public transportation,1,600,636,6,45,0.02,6.42,74.24,6.39,8.01,6.28,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l1_w600_r1,3,3,2,false,36,602,1758,2360,3,true,27,true,out_generated
a52822ba-ef1c-410a-b252-a76f85c70b11,a52822ba-ef1c-410a-b252-a76f85c70b11.json,2026-02-25T20:37:15.192Z,public transportation,1,300,383,27.6667,31,0.01,6.45,70.82,5.74,8.01,5.46,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,public_transportation_l1_w300_r1,1,3,1,true,83,200,467,667,1,true,28,true,out_generated
dc125290-c835-455b-a058-bcbc9578dd1f,dc125290-c835-455b-a058-bcbc9578dd1f.json,2026-02-25T20:37:10.228Z,climate adaptation,5,600,512,14.6667,17,0.21,23.72,-21.35,24.56,21.83,20.64,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l5_w600_r1,3,3,3,false,88,598,1733,2331,3,true,29,true,out_generated
76d9ada6-b611-40c4-8d3c-e1a42bdeeaed,76d9ada6-b611-40c4-8d3c-e1a42bdeeaed.json,2026-02-25T20:36:50.915Z,climate adaptation,5,300,293,2.3333,12,0.27,23.86,-32.48,23.91,24.35,20.42,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l5_w300_r1,1,3,1,true,7,200,368,568,1,true,30,true,out_generated
dd2e9bc2-7063-49ef-921f-499c9a43f77f,dd2e9bc2-7063-49ef-921f-499c9a43f77f.json,2026-02-25T20:36:45.569Z,climate adaptation,4,600,448,25.3333,17,0.22,22.71,-20.84,23.78,23.07,19.47,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l4_w600_r1,3,3,1,false,152,605,1523,2128,3,true,31,true,out_generated
522f6726-cf57-468f-884f-ba9809b2bcbc,522f6726-cf57-468f-884f-ba9809b2bcbc.json,2026-02-25T20:36:28.572Z,climate adaptation,4,300,288,4,12,0.23,22.66,-24.62,23.21,23.72,18.91,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l4_w300_r1,1,3,1,true,12,202,362,564,1,true,32,true,out_generated
81078318-cbfd-4044-90f7-5e76724510ed,81078318-cbfd-4044-90f7-5e76724510ed.json,2026-02-25T20:36:23.817Z,climate adaptation,3,600,595,0.8333,25,0.12,18.01,8.36,18.92,18.47,14.49,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l3_w600_r1,1,3,1,true,5,202,704,906,1,true,33,true,out_generated
c1f35c8e-1c79-47d3-b5d4-debe0998aa4e,c1f35c8e-1c79-47d3-b5d4-debe0998aa4e.json,2026-02-25T20:36:16.719Z,climate adaptation,3,300,327,9,19,0.13,16.17,9.82,16.89,19.58,12.27,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l3_w300_r1,1,3,1,true,27,201,397,598,1,true,34,true,out_generated
1eff4d7a-8ebe-4111-8851-32b0a55876be,1eff4d7a-8ebe-4111-8851-32b0a55876be.json,2026-02-25T20:36:11.733Z,climate adaptation,2,600,569,5.1667,36,0.02,7.33,70.66,7.96,9.15,7.24,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l2_w600_r1,3,3,2,false,31,608,1847,2455,3,true,35,true,out_generated
45e09acb-626d-4797-882d-b5ebd2b2467d,45e09acb-626d-4797-882d-b5ebd2b2467d.json,2026-02-25T20:35:53.961Z,climate adaptation,2,300,369,23,25,0.03,8.81,58.19,9.68,11.82,7.2,true,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l2_w300_r1,1,3,1,true,69,203,442,645,1,true,36,true,out_generated
d6a852e7-d906-47cc-a2a5-6bdb2f79a005,d6a852e7-d906-47cc-a2a5-6bdb2f79a005.json,2026-02-25T20:35:48.612Z,climate adaptation,1,600,605,0.8333,67,0,3.11,88.88,2.87,5.62,3.81,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l1_w600_r1,3,3,1,false,5,601,1921,2522,3,true,37,true,out_generated
dfa4a07a-6ca9-4d03-a644-6166c5371140,dfa4a07a-6ca9-4d03-a644-6166c5371140.json,2026-02-25T20:35:28.624Z,climate adaptation,1,300,383,27.6667,39,0.01,4.11,83.11,4.3,7.18,4.45,false,google/gemini-3-flash-preview,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gemini_b02,climate_adaptation_l1_w300_r1,1,3,1,true,83,200,468,668,1,true,38,true,out_generated
0350be07-6c09-40f8-a55b-a43f7fb8faab,0350be07-6c09-40f8-a55b-a43f7fb8faab.json,2026-02-25T20:32:16.986Z,marine ecosystems,5,600,612,2,14,0.2,29.47,-38.39,32.51,23.58,25.66,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l5_w600_r1,1,3,1,true,12,179,1368,1547,1,true,1,true,out_generated
c1331801-8a93-4e64-8313-e387c1be0b17,c1331801-8a93-4e64-8313-e387c1be0b17.json,2026-02-25T20:31:54.001Z,marine ecosystems,5,300,317,5.6667,13,0.22,24.29,-35.69,26.01,26.98,18.71,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l5_w300_r1,1,3,1,true,17,179,2334,2513,1,true,2,true,out_generated
0c073ba2-1279-4572-a200-bd170c99d332,0c073ba2-1279-4572-a200-bd170c99d332.json,2026-02-25T20:31:19.119Z,marine ecosystems,4,600,584,2.6667,16,0.17,26.33,-28.67,28.95,23.5,21.52,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l4_w600_r1,2,3,2,true,16,360,2578,2938,2,true,3,true,out_generated
9a0d93bb-0173-4e56-b5a7-8a816a76462b,9a0d93bb-0173-4e56-b5a7-8a816a76462b.json,2026-02-25T20:30:38.209Z,marine ecosystems,4,300,297,1,12,0.15,22.07,-19.1,24.04,24.32,16.1,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l4_w300_r1,1,3,1,true,3,180,1638,1818,1,true,4,true,out_generated
32643a93-325e-4493-8cd6-bfe2b3e65c1b,32643a93-325e-4493-8cd6-bfe2b3e65c1b.json,2026-02-25T20:30:11.927Z,marine ecosystems,3,600,530,11.6667,24,0.1,17.96,5.64,19.83,20.58,12.91,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l3_w600_r1,3,3,1,false,70,540,4726,5266,3,true,5,true,out_generated
c773f617-5787-487b-bc47-419ea521358d,c773f617-5787-487b-bc47-419ea521358d.json,2026-02-25T20:29:07.440Z,marine ecosystems,3,300,329,9.6667,20,0.15,16.9,3.2,18.08,21.45,12.54,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l3_w300_r1,1,3,1,true,29,180,2931,3111,1,true,6,true,out_generated
b5739a61-2c32-49bc-8353-081b229f1973,b5739a61-2c32-49bc-8353-081b229f1973.json,2026-02-25T20:28:23.609Z,marine ecosystems,2,600,624,4,46,0.06,9.82,48.81,10.53,13.44,7.67,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l2_w600_r1,3,3,2,false,24,546,9991,10537,3,true,7,true,out_generated
5fda932f-0f2d-45fb-9416-f9f228d82310,5fda932f-0f2d-45fb-9416-f9f228d82310.json,2026-02-25T20:26:19.238Z,marine ecosystems,2,300,323,7.6667,25,0.07,9.91,47.05,10.21,13.35,7.77,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l2_w300_r1,2,3,1,false,23,364,4134,4498,2,true,8,true,out_generated
039cb4b4-1508-481e-abd4-522e76f3ccf3,039cb4b4-1508-481e-abd4-522e76f3ccf3.json,2026-02-25T20:25:25.755Z,marine ecosystems,1,600,597,0.5,47,0.02,6.78,69.1,7.19,9.66,5.88,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l1_w600_r1,3,3,2,false,3,549,5145,5694,3,true,9,true,out_generated
cdc917fd-e8af-4208-ad35-e605b11f71f1,cdc917fd-e8af-4208-ad35-e605b11f71f1.json,2026-02-25T20:24:12.588Z,marine ecosystems,1,300,415,38.3333,42,0.02,5.58,72.66,5.95,9.22,4.92,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,marine_ecosystems_l1_w300_r1,1,3,1,true,115,182,4272,4454,1,true,10,true,out_generated
7b0ccca1-2c80-4e19-a064-80a1a5feb667,7b0ccca1-2c80-4e19-a064-80a1a5feb667.json,2026-02-25T20:23:11.803Z,ancient trade routes,5,600,536,10.6667,15,0.19,26.37,-30.36,28.66,23.6,22.05,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l5_w600_r1,3,3,3,false,64,540,4854,5394,3,true,11,true,out_generated
e40222ef-8c12-4ab7-8ab8-099b904609eb,e40222ef-8c12-4ab7-8ab8-099b904609eb.json,2026-02-25T20:21:59.260Z,ancient trade routes,5,300,324,8,9,0.15,25.29,-22.14,27.78,22.34,20.57,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l5_w300_r1,1,3,1,true,24,180,1069,1249,1,true,12,true,out_generated
535d5512-834f-4f49-b36a-a7a20cefcf37,535d5512-834f-4f49-b36a-a7a20cefcf37.json,2026-02-25T20:21:41.422Z,ancient trade routes,4,600,530,11.6667,18,0.2,24.64,-29.12,26.4,24.53,19.7,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l4_w600_r1,3,3,1,false,70,543,5083,5626,3,true,13,true,out_generated
91735f72-4db3-41f3-822a-8ff9d2323e75,91735f72-4db3-41f3-822a-8ff9d2323e75.json,2026-02-25T20:20:16.685Z,ancient trade routes,4,300,336,12,10,0.18,24.73,-22.4,26.97,22.76,20.7,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l4_w300_r1,1,3,1,true,36,181,1183,1364,1,true,14,true,out_generated
c934affb-d297-4328-98da-b590a2b8f3d9,c934affb-d297-4328-98da-b590a2b8f3d9.json,2026-02-25T20:19:56.540Z,ancient trade routes,3,600,669,11.5,42,0.1,14.7,18.05,15.77,18.83,10.26,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l3_w600_r1,1,3,1,true,69,181,2903,3084,1,true,15,true,out_generated
6a005887-e0ee-4129-88f8-0f02f545a738,6a005887-e0ee-4129-88f8-0f02f545a738.json,2026-02-25T20:19:17.689Z,ancient trade routes,3,300,315,5,20,0.12,16.21,6.88,17.25,20.77,11.25,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l3_w300_r1,1,3,1,true,15,181,3324,3505,1,true,16,true,out_generated
b2ae0ebc-ea45-4ba2-86e2-40a9a654e334,b2ae0ebc-ea45-4ba2-86e2-40a9a654e334.json,2026-02-25T20:18:19.611Z,ancient trade routes,2,600,558,7,48,0.01,7.05,65.25,7.65,10.7,5.22,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l2_w600_r1,3,3,1,false,42,549,4315,4864,3,true,17,true,out_generated
e88ad601-7f2b-4a84-b554-149682e7b105,e88ad601-7f2b-4a84-b554-149682e7b105.json,2026-02-25T20:17:19.713Z,ancient trade routes,2,300,341,13.6667,31,0.01,6.59,67.41,7.21,10.39,4.75,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l2_w300_r1,2,3,1,false,41,366,3213,3579,2,true,18,true,out_generated
f9146532-dadb-49ed-aec5-31880d3ec223,f9146532-dadb-49ed-aec5-31880d3ec223.json,2026-02-25T20:11:27.291Z,ancient trade routes,1,300,326,8.6667,34,0,3.53,86.81,4.13,7.03,3.84,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,ancient_trade_routes_l1_w300_r1,2,3,1,false,26,366,3686,4052,2,true,19,true,out_generated
4d53d84a-0fd9-4714-b2d2-113fbd7168cb,4d53d84a-0fd9-4714-b2d2-113fbd7168cb.json,2026-02-25T20:10:29.174Z,public transportation,5,600,570,5,14,0.21,28.36,-35.75,31.41,24.02,24.5,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,public_transportation_l5_w600_r1,1,3,1,true,30,179,1271,1450,1,true,20,true,out_generated
4ccb38b7-1980-40f0-a481-0816f2cc654c,4ccb38b7-1980-40f0-a481-0816f2cc654c.json,2026-02-25T20:10:12.998Z,public transportation,5,300,315,5,11,0.25,26.3,-42.46,28.12,27.15,21.49,true,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,public_transportation_l5_w300_r1,1,3,1,true,15,179,1098,1277,1,true,21,true,out_generated
37fadc6b-1e87-440c-b8b3-aec0905e222a,37fadc6b-1e87-440c-b8b3-aec0905e222a.json,2026-02-25T20:09:55.841Z,public transportation,4,600,555,7.5,16,0.18,26.24,-31.26,28.57,24.11,21.01,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,public_transportation_l4_w600_r1,2,3,2,true,45,360,2942,3302,2,true,22,true,out_generated
f33f01bf-3dc2-42fb-be58-9a132c73215d,f33f01bf-3dc2-42fb-be58-9a132c73215d.json,2026-02-25T20:09:18.895Z,public transportation,4,300,304,1.3333,10,0.15,23.94,-22.44,26.01,23.48,18.08,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,public_transportation_l4_w300_r1,1,3,1,true,4,180,955,1135,1,true,23,true,out_generated
62f65e19-c139-4510-abde-550dedc448da,62f65e19-c139-4510-abde-550dedc448da.json,2026-02-25T20:09:02.464Z,public transportation,3,600,497,17.1667,22,0.1,16.87,14.36,18.66,18.83,13.06,false,openai/gpt-5-mini,openrouter,ch5_e1_modelcmp_20260225,pilot,gen_gpt5mini_b02,public_transportation_l3_w600_r1,3,3,3,false,103,540,3931,4471,3,true,24,true,out_generated
